Date,Price
2021-09-17 00:00:00+00:00,59.48
2021-09-20 00:00:00+00:00,60.68
2021-09-21 00:00:00+00:00,60.16
2021-09-22 00:00:00+00:00,60.6
2021-09-23 00:00:00+00:00,60.54
2021-09-24 00:00:00+00:00,62.94
2021-09-27 00:00:00+00:00,64.37
2021-09-28 00:00:00+00:00,61.92
2021-09-29 00:00:00+00:00,62.88
2021-09-30 00:00:00+00:00,61.74
2021-10-01 00:00:00+00:00,62.04
2021-10-04 00:00:00+00:00,63.4
2021-10-05 00:00:00+00:00,64.72
2021-10-06 00:00:00+00:00,59.12
2021-10-07 00:00:00+00:00,60.37
2021-10-08 00:00:00+00:00,58.33
2021-10-11 00:00:00+00:00,59.15
